"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-05","   90","  100",,," 1318","0.00",,"0.0","0.0",,"47","35",,"  350",,,"  315",,"19.9",,,"23.0","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-06","   50","   50",,," 1000","0.00",,"0.0","0.0",,"35","25",,"  340",,,"  360",,"25.9",,,"34.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-07","   10","   10",,," 1406","0.00",,"0.0","0.0",,"46","20",,"  170",,,"  180",,"15.0",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-08","   50","   70",,," 2124","0.00",,"0.0","0.0",,"61","33",,"  360",,,"  315",,"28.0",,,"36.7",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-09","   40","   30",,," 0206","0.00",,"0.0","0.0",,"37","26",,"  360",,,"  360",,"28.0",,,"32.2",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-10","   50","   60",,," 1154","0.00",,"0.0","0.0",,"63","27",,"  180",,,"  225",,"21.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-11","   60","   70",,," 1154","0.00",,"0.0","0.0",,"64","41",,"  330",,,"  315",,"21.9",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-12","    0","    0",,," 0418","0.00",,"0.0","0.0",,"60","35",,"  360",,,"  360",,"10.1",,,"15.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-13","   20","   40",,," 1554","0.00",,"0.0","0.0",,"71","36",,"  180",,,"  180",,"23.9",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-14","   60","   70",,," 1442","0.00",,"0.0","0.0",,"75","47",,"  190",,,"  180",,"21.0",,,"28.9",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-15","  100","  100",,," 0006","0.01",,"0.0","0.0",,"63","40",,"   20",,,"  180",,"21.0",,,"26.4","    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-16","   50","   50",,," 1336","0.04",,"0.0","0.0",,"50","35",,"   20",,,"  315",,"19.9",,,"26.4","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-17","   70","   90",,," 1530","0.00",,"0.0","0.0",,"60","31",,"  150",,,"  135",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-18","   20","   10",,," 0500","0.00",,"0.0","0.0",,"51","36",,"  330",,,"  315",,"21.9",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-19","    0","    0",,," 1306","0.00",,"0.0","0.0",,"55","29",,"  360",,,"  315",,"12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-20","    0","    0",,," 1324","0.00",,"0.0","0.0",,"70","30",,"  170",,,"  180",,"25.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-21","   90","   90",,," 0630","0.00",,"0.0","0.0",,"73","53",,"  180",,,"  180",,"23.9",,,"30.0","    1",,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-22","  100","  100",,," 1712","0.64",,"0.0","0.0",,"68","34",,"  340",,,"  360",,"25.9",,,"34.4","    1",,"    1",,,,,,,,,,,,"    1",,"    1",,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-02-23","   50","   40",,," 1030","0.39",,"3.7","2.0",,"44","32",,"  320",,,"  315",,"29.1",,,"35.6","    1",,"    1",,,,,,,,,,,,,,"    1",,,,
